trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate,better_than_tournament
int_1.bz2,24,8,5,8,57600,8.175,1
int_2.bz2,24,8,5,8,57600,0.324,1
mm_1.bz2,24,8,6,6,44800,3.758,0
mm_1.bz2,24,8,6,7,51200,2.889,0
mm_1.bz2,24,8,6,8,57600,2.780,0
mm_1.bz2,24,8,7,6,44800,5.094,0
mm_1.bz2,24,8,7,7,51200,3.745,0
mm_1.bz2,24,8,7,8,57600,2.963,0
mm_1.bz2,26,7,3,6,24192,2.605,0
mm_1.bz2,26,7,3,7,27648,2.511,1
mm_2.bz2,26,7,3,7,27648,8.592,0
mm_1.bz2,26,7,3,8,31104,2.519,1
mm_2.bz2,26,7,3,8,31104,8.592,0
mm_1.bz2,26,7,4,6,24192,2.386,1
mm_2.bz2,26,7,4,6,24192,8.467,1
fp_1.bz2,26,7,4,6,24192,0.833,1
fp_2.bz2,26,7,4,6,24192,0.973,1
int_1.bz2,26,7,4,6,24192,10.030,1
int_2.bz2,26,7,4,6,24192,0.344,1
mm_1.bz2,26,7,4,7,27648,2.314,1
mm_2.bz2,26,7,4,7,27648,8.465,1
fp_1.bz2,26,7,4,7,27648,0.833,1
fp_2.bz2,26,7,4,7,27648,0.973,1
int_1.bz2,26,7,4,7,27648,9.838,1
int_2.bz2,26,7,4,7,27648,0.344,1
mm_1.bz2,26,7,4,8,31104,2.307,1
mm_2.bz2,26,7,4,8,31104,8.465,1
fp_1.bz2,26,7,4,8,31104,0.833,1
fp_2.bz2,26,7,4,8,31104,0.973,1
int_1.bz2,26,7,4,8,31104,9.796,1
int_2.bz2,26,7,4,8,31104,0.344,1
mm_1.bz2,26,7,5,6,24192,2.522,1
mm_2.bz2,26,7,5,6,24192,8.748,0
mm_1.bz2,26,7,5,7,27648,2.494,1
mm_2.bz2,26,7,5,7,27648,8.749,0
mm_1.bz2,26,7,5,8,31104,2.427,1
mm_2.bz2,26,7,5,8,31104,8.749,0
mm_1.bz2,26,7,6,6,24192,3.438,0
mm_1.bz2,26,7,6,7,27648,2.630,0
mm_1.bz2,26,7,6,8,31104,2.547,1
mm_2.bz2,26,7,6,8,31104,9.372,0
mm_1.bz2,26,7,7,6,24192,4.904,0
mm_1.bz2,26,7,7,7,27648,3.386,0
mm_1.bz2,26,7,7,8,31104,2.734,0
mm_1.bz2,26,8,3,6,48384,2.550,1
mm_2.bz2,26,8,3,6,48384,7.324,1
fp_1.bz2,26,8,3,6,48384,0.825,1
fp_2.bz2,26,8,3,6,48384,1.153,1
int_1.bz2,26,8,3,6,48384,9.296,1
int_2.bz2,26,8,3,6,48384,0.319,1
mm_1.bz2,26,8,3,7,55296,2.480,1
mm_2.bz2,26,8,3,7,55296,7.322,1
fp_1.bz2,26,8,3,7,55296,0.825,1
fp_2.bz2,26,8,3,7,55296,1.153,1
int_1.bz2,26,8,3,7,55296,9.250,1
int_2.bz2,26,8,3,7,55296,0.319,1
mm_1.bz2,26,8,3,8,62208,2.491,1
mm_2.bz2,26,8,3,8,62208,7.322,1
fp_1.bz2,26,8,3,8,62208,0.825,1
fp_2.bz2,26,8,3,8,62208,1.153,1
int_1.bz2,26,8,3,8,62208,9.246,1
int_2.bz2,26,8,3,8,62208,0.319,1
mm_1.bz2,26,8,4,6,48384,2.370,1
mm_2.bz2,26,8,4,6,48384,7.155,1
fp_1.bz2,26,8,4,6,48384,0.826,1
fp_2.bz2,26,8,4,6,48384,0.971,1
int_1.bz2,26,8,4,6,48384,8.700,1
int_2.bz2,26,8,4,6,48384,0.318,1
mm_1.bz2,26,8,4,7,55296,2.317,1
mm_2.bz2,26,8,4,7,55296,7.153,1
fp_1.bz2,26,8,4,7,55296,0.826,1
fp_2.bz2,26,8,4,7,55296,0.971,1
int_1.bz2,26,8,4,7,55296,8.564,1
int_2.bz2,26,8,4,7,55296,0.318,1
mm_1.bz2,26,8,4,8,62208,2.309,1
mm_2.bz2,26,8,4,8,62208,7.153,1
fp_1.bz2,26,8,4,8,62208,0.826,1
fp_2.bz2,26,8,4,8,62208,0.971,1
int_1.bz2,26,8,4,8,62208,8.556,1
int_2.bz2,26,8,4,8,62208,0.318,1
mm_1.bz2,26,8,5,6,48384,2.484,1
mm_2.bz2,26,8,5,6,48384,7.361,1
fp_1.bz2,26,8,5,6,48384,0.827,1
fp_2.bz2,26,8,5,6,48384,0.979,1
int_1.bz2,26,8,5,6,48384,8.539,1
int_2.bz2,26,8,5,6,48384,0.319,1
mm_1.bz2,26,8,5,7,55296,2.451,1
mm_2.bz2,26,8,5,7,55296,7.348,1
fp_1.bz2,26,8,5,7,55296,0.827,1
fp_2.bz2,26,8,5,7,55296,0.976,1
int_1.bz2,26,8,5,7,55296,8.168,1
int_2.bz2,26,8,5,7,55296,0.318,1
mm_1.bz2,26,8,5,8,62208,2.394,1
mm_2.bz2,26,8,5,8,62208,7.348,1
fp_1.bz2,26,8,5,8,62208,0.827,1
fp_2.bz2,26,8,5,8,62208,0.976,1
int_1.bz2,26,8,5,8,62208,8.124,1
int_2.bz2,26,8,5,8,62208,0.318,1
mm_1.bz2,26,8,6,6,48384,3.220,0
mm_1.bz2,26,8,6,7,55296,2.586,0
mm_1.bz2,26,8,6,8,62208,2.508,1
mm_2.bz2,26,8,6,8,62208,7.854,1
fp_1.bz2,26,8,6,8,62208,0.831,1
fp_2.bz2,26,8,6,8,62208,0.991,1
int_1.bz2,26,8,6,8,62208,8.057,1
int_2.bz2,26,8,6,8,62208,0.336,1
mm_1.bz2,26,8,7,6,48384,4.683,0
mm_1.bz2,26,8,7,7,55296,3.258,0
mm_1.bz2,26,8,7,8,62208,2.667,0
mm_1.bz2,28,7,3,6,25984,2.458,1
mm_2.bz2,28,7,3,6,25984,8.616,0
mm_1.bz2,28,7,3,7,29696,2.484,1
mm_2.bz2,28,7,3,7,29696,8.615,0
mm_1.bz2,28,7,3,8,33408,2.484,1
mm_2.bz2,28,7,3,8,33408,8.615,0
mm_1.bz2,28,7,4,6,25984,2.240,1
mm_2.bz2,28,7,4,6,25984,8.450,1
fp_1.bz2,28,7,4,6,25984,0.833,1
fp_2.bz2,28,7,4,6,25984,0.971,1
int_1.bz2,28,7,4,6,25984,9.929,1
int_2.bz2,28,7,4,6,25984,0.343,1
mm_1.bz2,28,7,4,7,29696,2.214,1
mm_2.bz2,28,7,4,7,29696,8.451,1
fp_1.bz2,28,7,4,7,29696,0.833,1
fp_2.bz2,28,7,4,7,29696,0.971,1
int_1.bz2,28,7,4,7,29696,9.724,1
int_2.bz2,28,7,4,7,29696,0.343,1
mm_1.bz2,28,7,4,8,33408,2.206,1
mm_2.bz2,28,7,4,8,33408,8.451,1
fp_1.bz2,28,7,4,8,33408,0.833,1
fp_2.bz2,28,7,4,8,33408,0.971,1
int_1.bz2,28,7,4,8,33408,9.685,1
int_2.bz2,28,7,4,8,33408,0.343,1
mm_1.bz2,28,7,5,6,25984,2.529,1
mm_2.bz2,28,7,5,6,25984,8.682,0
mm_1.bz2,28,7,5,7,29696,2.318,1
mm_2.bz2,28,7,5,7,29696,8.672,0
mm_1.bz2,28,7,5,8,33408,2.307,1
mm_2.bz2,28,7,5,8,33408,8.672,0
mm_1.bz2,28,7,6,6,25984,3.331,0
mm_1.bz2,28,7,6,7,29696,2.488,1
mm_2.bz2,28,7,6,7,29696,9.266,0
mm_1.bz2,28,7,6,8,33408,2.428,1
mm_2.bz2,28,7,6,8,33408,9.265,0
mm_1.bz2,28,7,7,6,25984,4.740,0
mm_1.bz2,28,7,7,7,29696,3.271,0
mm_1.bz2,28,7,7,8,33408,2.624,0
mm_1.bz2,28,8,3,6,51968,2.406,1
mm_2.bz2,28,8,3,6,51968,7.318,1
fp_1.bz2,28,8,3,6,51968,0.826,1
fp_2.bz2,28,8,3,6,51968,0.970,1
int_1.bz2,28,8,3,6,51968,9.175,1
int_2.bz2,28,8,3,6,51968,0.324,1
mm_1.bz2,28,8,3,7,59392,2.417,1
mm_2.bz2,28,8,3,7,59392,7.318,1
fp_1.bz2,28,8,3,7,59392,0.826,1
fp_2.bz2,28,8,3,7,59392,0.970,1
int_1.bz2,28,8,3,7,59392,9.131,1
int_2.bz2,28,8,3,7,59392,0.324,1
mm_1.bz2,28,8,4,6,51968,2.182,1
mm_2.bz2,28,8,4,6,51968,7.136,1
fp_1.bz2,28,8,4,6,51968,0.826,1
fp_2.bz2,28,8,4,6,51968,0.969,1
int_1.bz2,28,8,4,6,51968,8.586,1
int_2.bz2,28,8,4,6,51968,0.317,1
mm_1.bz2,28,8,4,7,59392,2.124,1
mm_2.bz2,28,8,4,7,59392,7.134,1
fp_1.bz2,28,8,4,7,59392,0.826,1
fp_2.bz2,28,8,4,7,59392,0.969,1
int_1.bz2,28,8,4,7,59392,8.440,1
int_2.bz2,28,8,4,7,59392,0.317,1
mm_1.bz2,28,8,5,6,51968,2.395,1
mm_2.bz2,28,8,5,6,51968,7.303,1
fp_1.bz2,28,8,5,6,51968,0.827,1
fp_2.bz2,28,8,5,6,51968,0.979,1
int_1.bz2,28,8,5,6,51968,8.433,1
int_2.bz2,28,8,5,6,51968,0.317,1
mm_1.bz2,28,8,5,7,59392,2.255,1
mm_2.bz2,28,8,5,7,59392,7.288,1
fp_1.bz2,28,8,5,7,59392,0.827,1
fp_2.bz2,28,8,5,7,59392,0.975,1
int_1.bz2,28,8,5,7,59392,8.048,1
int_2.bz2,28,8,5,7,59392,0.316,1
mm_1.bz2,28,8,6,6,51968,3.212,0
mm_1.bz2,28,8,6,7,59392,2.380,1
mm_2.bz2,28,8,6,7,59392,7.763,1
fp_1.bz2,28,8,6,7,59392,0.831,1
fp_2.bz2,28,8,6,7,59392,0.987,1
int_1.bz2,28,8,6,7,59392,8.134,1
int_2.bz2,28,8,6,7,59392,0.334,1
mm_1.bz2,28,8,7,6,51968,4.391,0
mm_1.bz2,28,8,7,7,59392,3.204,0
mm_1.bz2,30,7,3,6,27776,2.405,1
mm_2.bz2,30,7,3,6,27776,8.615,0
mm_1.bz2,30,7,3,7,31744,2.434,1
mm_2.bz2,30,7,3,7,31744,8.614,0
mm_1.bz2,30,7,3,8,35712,2.434,1
mm_2.bz2,30,7,3,8,35712,8.614,0
mm_1.bz2,30,7,4,6,27776,2.267,1
mm_2.bz2,30,7,4,6,27776,8.421,1
fp_1.bz2,30,7,4,6,27776,0.834,1
fp_2.bz2,30,7,4,6,27776,1.012,1
int_1.bz2,30,7,4,6,27776,9.844,1
int_2.bz2,30,7,4,6,27776,0.351,1
mm_1.bz2,30,7,4,7,31744,2.198,1
mm_2.bz2,30,7,4,7,31744,8.422,1
fp_1.bz2,30,7,4,7,31744,0.834,1
fp_2.bz2,30,7,4,7,31744,1.012,1
int_1.bz2,30,7,4,7,31744,9.638,1
int_2.bz2,30,7,4,7,31744,0.351,1
mm_1.bz2,30,7,4,8,35712,2.203,1
mm_2.bz2,30,7,4,8,35712,8.422,1
fp_1.bz2,30,7,4,8,35712,0.834,1
fp_2.bz2,30,7,4,8,35712,1.012,1
int_1.bz2,30,7,4,8,35712,9.599,1
int_2.bz2,30,7,4,8,35712,0.351,1
mm_1.bz2,30,7,5,6,27776,2.419,1
mm_2.bz2,30,7,5,6,27776,8.637,0
mm_1.bz2,30,7,5,7,31744,2.185,1
mm_2.bz2,30,7,5,7,31744,8.631,0
mm_1.bz2,30,7,5,8,35712,2.189,1
mm_2.bz2,30,7,5,8,35712,8.631,0
mm_1.bz2,30,7,6,6,27776,3.186,0
mm_1.bz2,30,7,6,7,31744,2.402,1
mm_2.bz2,30,7,6,7,31744,9.177,0
mm_1.bz2,30,7,6,8,35712,2.328,1
mm_2.bz2,30,7,6,8,35712,9.174,0
mm_1.bz2,30,7,7,6,27776,4.604,0
mm_1.bz2,30,7,7,7,31744,3.149,0
mm_1.bz2,30,7,7,8,35712,2.564,1
mm_2.bz2,30,7,7,8,35712,10.030,0
mm_1.bz2,30,8,3,6,55552,2.423,1
mm_2.bz2,30,8,3,6,55552,7.325,1
fp_1.bz2,30,8,3,6,55552,0.909,1
fp_2.bz2,30,8,3,6,55552,1.152,1
int_1.bz2,30,8,3,6,55552,9.024,1
int_2.bz2,30,8,3,6,55552,0.325,1
mm_1.bz2,30,8,3,7,63488,2.437,1
mm_2.bz2,30,8,3,7,63488,7.324,1
fp_1.bz2,30,8,3,7,63488,0.909,1
fp_2.bz2,30,8,3,7,63488,1.152,1
int_1.bz2,30,8,3,7,63488,8.980,1
int_2.bz2,30,8,3,7,63488,0.325,1
mm_1.bz2,30,8,4,6,55552,2.213,1
mm_2.bz2,30,8,4,6,55552,7.115,1
fp_1.bz2,30,8,4,6,55552,0.827,1
fp_2.bz2,30,8,4,6,55552,1.009,1
int_1.bz2,30,8,4,6,55552,8.456,1
int_2.bz2,30,8,4,6,55552,0.320,1
mm_1.bz2,30,8,4,7,63488,2.169,1
mm_2.bz2,30,8,4,7,63488,7.114,1
fp_1.bz2,30,8,4,7,63488,0.827,1
fp_2.bz2,30,8,4,7,63488,1.009,1
int_1.bz2,30,8,4,7,63488,8.316,1
int_2.bz2,30,8,4,7,63488,0.320,1
mm_1.bz2,30,8,5,6,55552,2.350,1
mm_2.bz2,30,8,5,6,55552,7.251,1
fp_1.bz2,30,8,5,6,55552,0.828,1
fp_2.bz2,30,8,5,6,55552,0.972,1
int_1.bz2,30,8,5,6,55552,8.299,1
int_2.bz2,30,8,5,6,55552,0.320,1
mm_1.bz2,30,8,5,7,63488,2.141,1
mm_2.bz2,30,8,5,7,63488,7.234,1
fp_1.bz2,30,8,5,7,63488,0.828,1
fp_2.bz2,30,8,5,7,63488,0.971,1
int_1.bz2,30,8,5,7,63488,7.916,1
int_2.bz2,30,8,5,7,63488,0.318,1
mm_1.bz2,30,8,6,6,55552,3.171,0
mm_1.bz2,30,8,6,7,63488,2.355,1
mm_2.bz2,30,8,6,7,63488,7.677,1
fp_1.bz2,30,8,6,7,63488,0.832,1
fp_2.bz2,30,8,6,7,63488,0.981,1
int_1.bz2,30,8,6,7,63488,7.996,1
int_2.bz2,30,8,6,7,63488,0.333,1
mm_1.bz2,30,8,7,6,55552,4.158,0
mm_1.bz2,30,8,7,7,63488,3.156,0
mm_1.bz2,32,7,3,6,29568,2.408,1
mm_2.bz2,32,7,3,6,29568,8.619,0
mm_1.bz2,32,7,3,7,33792,2.426,1
mm_2.bz2,32,7,3,7,33792,8.619,0
mm_1.bz2,32,7,3,8,38016,2.426,1
mm_2.bz2,32,7,3,8,38016,8.619,0
mm_1.bz2,32,7,4,6,29568,2.157,1
mm_2.bz2,32,7,4,6,29568,8.398,1
fp_1.bz2,32,7,4,6,29568,0.834,1
fp_2.bz2,32,7,4,6,29568,1.062,1
int_1.bz2,32,7,4,6,29568,9.849,1
int_2.bz2,32,7,4,6,29568,0.350,1
mm_1.bz2,32,7,4,7,33792,2.087,1
mm_2.bz2,32,7,4,7,33792,8.399,1
fp_1.bz2,32,7,4,7,33792,0.834,1
fp_2.bz2,32,7,4,7,33792,1.062,1
int_1.bz2,32,7,4,7,33792,9.639,1
int_2.bz2,32,7,4,7,33792,0.350,1
mm_1.bz2,32,7,4,8,38016,2.089,1
mm_2.bz2,32,7,4,8,38016,8.399,1
fp_1.bz2,32,7,4,8,38016,0.834,1
fp_2.bz2,32,7,4,8,38016,1.062,1
int_1.bz2,32,7,4,8,38016,9.597,1
int_2.bz2,32,7,4,8,38016,0.350,1
mm_1.bz2,32,7,5,6,29568,2.238,1
mm_2.bz2,32,7,5,6,29568,8.560,0
mm_1.bz2,32,7,5,7,33792,2.011,1
mm_2.bz2,32,7,5,7,33792,8.551,0
mm_1.bz2,32,7,5,8,38016,2.000,1
mm_2.bz2,32,7,5,8,38016,8.551,0
mm_1.bz2,32,7,6,6,29568,2.887,0
mm_1.bz2,32,7,6,7,33792,2.139,1
mm_2.bz2,32,7,6,7,33792,9.085,0
mm_1.bz2,32,7,6,8,38016,2.045,1
mm_2.bz2,32,7,6,8,38016,9.081,0
mm_1.bz2,32,7,7,6,29568,4.108,0
mm_1.bz2,32,7,7,7,33792,2.902,0
mm_1.bz2,32,7,7,8,38016,2.278,1
mm_2.bz2,32,7,7,8,38016,9.908,0
mm_1.bz2,32,8,3,6,59136,2.392,1
mm_2.bz2,32,8,3,6,59136,7.306,1
fp_1.bz2,32,8,3,6,59136,0.909,1
fp_2.bz2,32,8,3,6,59136,1.175,1
int_1.bz2,32,8,3,6,59136,8.996,1
int_2.bz2,32,8,3,6,59136,0.331,1
mm_1.bz2,32,8,4,6,59136,2.150,1
mm_2.bz2,32,8,4,6,59136,7.086,1
fp_1.bz2,32,8,4,6,59136,0.827,1
fp_2.bz2,32,8,4,6,59136,1.060,1
int_1.bz2,32,8,4,6,59136,8.446,1
int_2.bz2,32,8,4,6,59136,0.321,1
mm_1.bz2,32,8,5,6,59136,2.176,1
mm_2.bz2,32,8,5,6,59136,7.188,1
fp_1.bz2,32,8,5,6,59136,0.828,1
fp_2.bz2,32,8,5,6,59136,0.972,1
int_1.bz2,32,8,5,6,59136,8.270,1
int_2.bz2,32,8,5,6,59136,0.321,1
mm_1.bz2,32,8,6,6,59136,2.876,0
mm_1.bz2,32,8,7,6,59136,3.899,0
mm_1.bz2,34,7,3,6,31360,2.305,1
mm_2.bz2,34,7,3,6,31360,8.633,0
mm_1.bz2,34,7,3,7,35840,2.302,1
mm_2.bz2,34,7,3,7,35840,8.633,0
mm_1.bz2,34,7,3,8,40320,2.303,1
mm_2.bz2,34,7,3,8,40320,8.633,0
mm_1.bz2,34,7,4,6,31360,2.170,1
mm_2.bz2,34,7,4,6,31360,8.396,1
fp_1.bz2,34,7,4,6,31360,0.834,1
fp_2.bz2,34,7,4,6,31360,1.061,1
int_1.bz2,34,7,4,6,31360,9.855,1
int_2.bz2,34,7,4,6,31360,0.346,1
mm_1.bz2,34,7,4,7,35840,2.104,1
mm_2.bz2,34,7,4,7,35840,8.396,1
fp_1.bz2,34,7,4,7,35840,0.834,1
fp_2.bz2,34,7,4,7,35840,1.061,1
int_1.bz2,34,7,4,7,35840,9.643,1
int_2.bz2,34,7,4,7,35840,0.346,1
mm_1.bz2,34,7,4,8,40320,2.082,1
mm_2.bz2,34,7,4,8,40320,8.396,1
fp_1.bz2,34,7,4,8,40320,0.834,1
fp_2.bz2,34,7,4,8,40320,1.061,1
int_1.bz2,34,7,4,8,40320,9.599,1
int_2.bz2,34,7,4,8,40320,0.346,1
mm_1.bz2,34,7,5,6,31360,2.194,1
mm_2.bz2,34,7,5,6,31360,8.531,0
mm_1.bz2,34,7,5,7,35840,2.091,1
mm_2.bz2,34,7,5,7,35840,8.521,0
mm_1.bz2,34,7,5,8,40320,2.027,1
mm_2.bz2,34,7,5,8,40320,8.521,0
mm_1.bz2,34,7,6,6,31360,2.917,0
mm_1.bz2,34,7,6,7,35840,2.059,1
mm_2.bz2,34,7,6,7,35840,9.022,0
mm_1.bz2,34,7,6,8,40320,1.986,1
mm_2.bz2,34,7,6,8,40320,9.020,0
mm_1.bz2,34,7,7,6,31360,3.918,0
mm_1.bz2,34,7,7,7,35840,2.951,0
mm_1.bz2,34,7,7,8,40320,2.178,1
mm_2.bz2,34,7,7,8,40320,9.814,0
mm_1.bz2,34,8,3,6,62720,2.203,1
mm_2.bz2,34,8,3,6,62720,7.315,1
fp_1.bz2,34,8,3,6,62720,0.828,1
fp_2.bz2,34,8,3,6,62720,1.155,1
int_1.bz2,34,8,3,6,62720,9.033,1
int_2.bz2,34,8,3,6,62720,0.349,1
mm_1.bz2,34,8,4,6,62720,2.145,1
mm_2.bz2,34,8,4,6,62720,7.079,1
fp_1.bz2,34,8,4,6,62720,0.826,1
fp_2.bz2,34,8,4,6,62720,1.060,1
int_1.bz2,34,8,4,6,62720,8.455,1
int_2.bz2,34,8,4,6,62720,0.317,1
mm_1.bz2,34,8,5,6,62720,2.133,1
mm_2.bz2,34,8,5,6,62720,7.156,1
fp_1.bz2,34,8,5,6,62720,0.828,1
fp_2.bz2,34,8,5,6,62720,0.972,1
int_1.bz2,34,8,5,6,62720,8.257,1
int_2.bz2,34,8,5,6,62720,0.320,1
mm_1.bz2,34,8,6,6,62720,2.805,0
mm_1.bz2,34,8,7,6,62720,3.632,0
mm_1.bz2,36,7,3,6,33152,2.115,1
mm_2.bz2,36,7,3,6,33152,8.662,0
mm_1.bz2,36,7,3,7,37888,2.093,1
mm_2.bz2,36,7,3,7,37888,8.662,0
mm_1.bz2,36,7,3,8,42624,2.093,1
mm_2.bz2,36,7,3,8,42624,8.662,0
mm_1.bz2,36,7,4,6,33152,1.893,1
mm_2.bz2,36,7,4,6,33152,8.398,1
fp_1.bz2,36,7,4,6,33152,0.836,1
fp_2.bz2,36,7,4,6,33152,1.060,1
int_1.bz2,36,7,4,6,33152,9.827,1
int_2.bz2,36,7,4,6,33152,0.349,1
mm_1.bz2,36,7,4,7,37888,1.823,1
mm_2.bz2,36,7,4,7,37888,8.396,1
fp_1.bz2,36,7,4,7,37888,0.836,1
fp_2.bz2,36,7,4,7,37888,1.060,1
int_1.bz2,36,7,4,7,37888,9.627,1
int_2.bz2,36,7,4,7,37888,0.349,1
mm_1.bz2,36,7,4,8,42624,1.823,1
mm_2.bz2,36,7,4,8,42624,8.396,1
fp_1.bz2,36,7,4,8,42624,0.836,1
fp_2.bz2,36,7,4,8,42624,1.060,1
int_1.bz2,36,7,4,8,42624,9.580,1
int_2.bz2,36,7,4,8,42624,0.349,1
mm_1.bz2,36,7,5,6,33152,1.924,1
mm_2.bz2,36,7,5,6,33152,8.500,0
mm_1.bz2,36,7,5,7,37888,1.724,1
mm_2.bz2,36,7,5,7,37888,8.484,0
mm_1.bz2,36,7,5,8,42624,1.754,1
mm_2.bz2,36,7,5,8,42624,8.484,0
mm_1.bz2,36,7,6,6,33152,2.723,0
mm_1.bz2,36,7,6,7,37888,1.898,1
mm_2.bz2,36,7,6,7,37888,8.943,0
mm_1.bz2,36,7,6,8,42624,1.837,1
mm_2.bz2,36,7,6,8,42624,8.942,0
mm_1.bz2,36,7,7,6,33152,3.650,0
mm_1.bz2,36,7,7,7,37888,2.700,0
mm_1.bz2,36,7,7,8,42624,1.956,1
mm_2.bz2,36,7,7,8,42624,9.715,0
